cat-title,cat-title href,image-link href,image src,post-title,meta-item 2,meta-item href,meta-item 3,meta-item href 2,excerpt
Government of India,https://factly.in/category/government-of-india/,https://factly.in/data-over-4200-gifts-worth-%e2%82%b9-21-77-crores-received-by-indian-delegates-during-foreign-visits-between-2013-2023/,https://factly.in/wp-content/uploads//2016/09/Indian-VIPs-foreign-gifts_factly-702x336.jpg,Data: Over 4200 Gifts Worth ₹ 21.77 Crores Received by Indian Delegates During Foreign Visits Between 2013 & 2023,Suresh Deepala,https://factly.in/author/sureshdeepala/,"September 17, 2024",https://factly.in/data-over-4200-gifts-worth-%e2%82%b9-21-77-crores-received-by-indian-delegates-during-foreign-visits-between-2013-2023/#respond,The acceptance of gifts by any member of an official Indian delegation from a foreign…
Environment,https://factly.in/category/environment/,https://factly.in/data-average-annual-economic-impact-due-to-floods-is-more-than-rs-25000-crores-after-the-year-2010/,https://factly.in/wp-content/uploads//2021/08/damages-due-to-Floods_Image-702x336.jpg,"Data: Average Annual Economic Impact due to Floods is More than Rs. 25,000 Crores After the year 2010",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"September 16, 2024",https://factly.in/data-average-annual-economic-impact-due-to-floods-is-more-than-rs-25000-crores-after-the-year-2010/#respond,Damages due to floods have increased in the last two decades with increased instances of…
Environment,https://factly.in/category/environment/,https://factly.in/data-all-india-water-storage-level-in-reservoirs-was-below-average-for-almost-all-of-last-12-months/,https://factly.in/wp-content/uploads//2024/09/India-reservoir-featured-image-702x336.jpeg,Data: All-India Water Storage Level in Reservoirs Was Below Average for Almost All of Last 12 Months,Pavithra K M,https://factly.in/author/pavithrakm/,"September 13, 2024",https://factly.in/data-all-india-water-storage-level-in-reservoirs-was-below-average-for-almost-all-of-last-12-months/#respond,The Central Water Commission (CWC)’s reservoir water storage data is based on reports received from…
Court,https://factly.in/category/court/,https://factly.in/review-rajasthan-hc-rules-that-regardless-of-nature-of-work-all-working-women-are-entitled-to-180-days-of-maternity-leave/,https://factly.in/wp-content/uploads//2024/09/rajasthan-high-court--702x336.jpeg,"Review: Rajasthan HC Rules That Regardless of Nature of Work, All Working Women Are Entitled to 180 Days of Maternity Leave",Suresh Deepala,https://factly.in/author/sureshdeepala/,"September 11, 2024",https://factly.in/review-rajasthan-hc-rules-that-regardless-of-nature-of-work-all-working-women-are-entitled-to-180-days-of-maternity-leave/#respond,"In this edition of Court Judgements review, we look at the Kerala HC’s directions for…"
finance,https://factly.in/category/finance/,https://factly.in/data-between-2015-16-and-2023-24-share-of-kishore-accounts-under-pmmy-increases-from-6-to-35/,https://factly.in/wp-content/uploads//2024/09/PM-Mudra-featured-image-702x336.png,"Data: Between 2015-16 and 2023-24, Share of ‘Kishore’ Accounts Under PMMY Increases From 6% to 35%",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"September 10, 2024",https://factly.in/data-between-2015-16-and-2023-24-share-of-kishore-accounts-under-pmmy-increases-from-6-to-35/#respond,"Explore clean, standardized, granular datasets on the PMMY Scheme only on Dataful It’s been over…"
finance,https://factly.in/category/finance/,https://factly.in/data-10-years-of-pmjdy-as-average-deposits-increase-share-of-inoperative-zero-balance-accounts-reduces/,https://factly.in/wp-content/uploads//2021/09/Pradhan-Mantri-Jan-Dhan-Yojana_image-702x336.jpg,"Data: 10 Years of PMJDY – As Average Deposits Increase, Share of Inoperative & Zero Balance Accounts Reduces",Pavithra K M,https://factly.in/author/pavithrakm/,"September 9, 2024",https://factly.in/data-10-years-of-pmjdy-as-average-deposits-increase-share-of-inoperative-zero-balance-accounts-reduces/#respond,"The NDA government’s flagship financial inclusion scheme, the Pradhan Mantri Jan Dhan Yojana recently completed…"
Government of India,https://factly.in/category/government-of-india/,https://factly.in/data-between-2023-2024-while-number-of-grievances-increased-on-x-twitter-number-of-accounts-suspended-reduced-significantly/,https://factly.in/wp-content/uploads//2024/09/Set-Of-Gradient-Social-Media-Circles-Logos-With-New-X-logo-702x336.jpg,"Data: Between 2023 & 2024, While Number of Grievances Increased on X (Twitter), Number of Accounts Suspended Reduced Significantly",Suresh Deepala,https://factly.in/author/sureshdeepala/,"September 6, 2024",https://factly.in/data-between-2023-2024-while-number-of-grievances-increased-on-x-twitter-number-of-accounts-suspended-reduced-significantly/#respond,"The Government notified The Information Technology (Intermediary Guidelines and Digital Media Ethics Code) Rules, 2021…"
Court,https://factly.in/category/court/,https://factly.in/review-bombay-hc-rules-that-to-attract-the-offence-of-cheating-the-intention-to-cheat-or-deceive-should-be-there-from-the-beginning/,https://factly.in/wp-content/uploads//2023/12/Bombay-high-court-building-featured-image-702x336.jpeg,"Review: Bombay HC Rules that to attract the offence of cheating, the intention to cheat or deceive should be there from the beginning.",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"September 4, 2024",https://factly.in/review-bombay-hc-rules-that-to-attract-the-offence-of-cheating-the-intention-to-cheat-or-deceive-should-be-there-from-the-beginning/#respond,"In this edition of Court Judgements, we look at the Supreme Court’s judgement on benefits…"
Government of India,https://factly.in/category/government-of-india/,https://factly.in/data-between-2010-11-2024-25-share-of-corporate-tax-in-direct-tax-collections-reduced-from-67-to-46/,https://factly.in/wp-content/uploads//2024/09/t-x-concept-with-indian-rupee-symbol-3d-rendering-image-702x336.jpg,"Data: Between 2010-11 & 2024-25, Share of Corporate Tax in Direct Tax Collections Reduced From 67% to 46%",Pavithra K M,https://factly.in/author/pavithrakm/,"September 3, 2024",https://factly.in/data-between-2010-11-2024-25-share-of-corporate-tax-in-direct-tax-collections-reduced-from-67-to-46/#respond,Data indicates that direct taxes have dominated the Central Government’s tax revenue throughout the years.…
Crime,https://factly.in/category/crime/,https://factly.in/crime-against-women-cases-registered-under-pocso-cyber-crimes-increase-significantly-between-2017-2022/,https://factly.in/wp-content/uploads//2022/08/review-of-Court-Judgments_Featured-Image-1-702x336.jpg,Crime Against Women: Cases Registered Under POCSO & Cyber Crimes Increase Significantly Between 2017 & 2022,Suresh Deepala,https://factly.in/author/sureshdeepala/,"September 2, 2024",https://factly.in/crime-against-women-cases-registered-under-pocso-cyber-crimes-increase-significantly-between-2017-2022/#respond,Data from the NCRB indicates that the cases registered in regard to Crime Against Women…
Banks,https://factly.in/category/banks/,https://factly.in/data-credit-deposit-ratio-cdr-reaches-a-high-of-80-as-rbi-governor-flags-concerns/,https://factly.in/wp-content/uploads//2024/08/credit-rupees-702x336.jpg,Data: Credit-Deposit Ratio (CDR) Reaches a High of 80% as RBI Governor Flags Concerns,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"August 30, 2024",https://factly.in/data-credit-deposit-ratio-cdr-reaches-a-high-of-80-as-rbi-governor-flags-concerns/#respond,"With bank deposits on the decline, the Reserve Bank of India (RBI) is nudging banks…"
Court,https://factly.in/category/court/,https://factly.in/review-allahabad-hc-rules-that-wifes-failure-to-take-care-of-aged-in-laws-is-not-cruelty-especially-when-husband-is-living-separately/,https://factly.in/wp-content/uploads//2024/01/allahabad-high-court-featured-image-702x336.png,"Review: Allahabad HC Rules That Wife’s Failure to Take Care of Aged In-Laws is Not Cruelty, Especially When Husband is Living Separately",Pavithra K M,https://factly.in/author/pavithrakm/,"August 28, 2024",https://factly.in/review-allahabad-hc-rules-that-wifes-failure-to-take-care-of-aged-in-laws-is-not-cruelty-especially-when-husband-is-living-separately/#respond,"In this edition of Court Judgements, we look at SC’s decision that the right of…"
Crime,https://factly.in/category/crime/,https://factly.in/data-the-number-of-reported-crimes-against-women-increased-by-over-30-between-2014-2022/,https://factly.in/wp-content/uploads//2021/09/Crimes-against-Women_Image-702x336.jpg,Data: The number of Reported Crimes Against Women Increased by Over 30% Between 2014 & 2022,Suresh Deepala,https://factly.in/author/sureshdeepala/,"August 27, 2024",https://factly.in/data-the-number-of-reported-crimes-against-women-increased-by-over-30-between-2014-2022/#respond,Data from the NCRB’s ‘Crime in India’ reports indicates that the number of reported crimes…
Government of India,https://factly.in/category/government-of-india/,https://factly.in/data-prosecution-sanction-sought-in-less-than-10-of-the-complaints-made-by-emigrants-families-against-illegal-recruitment-agents-since-2012/,https://factly.in/wp-content/uploads//2024/08/Migrant_workers_in_West_Bay_Doha-702x336.jpg,Data: Prosecution Sanction Sought in Less Than 10% of The Complaints Made by Emigrants/Families Against Illegal Recruitment Agents Since 2012,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"August 26, 2024",https://factly.in/data-prosecution-sanction-sought-in-less-than-10-of-the-complaints-made-by-emigrants-families-against-illegal-recruitment-agents-since-2012/#respond,"In pursuit of better economic prospects, countless individuals leave their homes, driven by the promise…"
Government of India,https://factly.in/category/government-of-india/,https://factly.in/data-between-2014-and-2023-about-3-2-lakh-women-lost-their-lives-due-to-cervical-cancer/,https://factly.in/wp-content/uploads//2024/08/hand-holding-teal-awareness-ribbon-ovarian-paper-model-green-background-702x336.jpg,"Data: Between 2014 and 2023, About 3.2 Lakh Women Lost Their Lives Due to Cervical Cancer",Pavithra K M,https://factly.in/author/pavithrakm/,"August 23, 2024",https://factly.in/data-between-2014-and-2023-about-3-2-lakh-women-lost-their-lives-due-to-cervical-cancer/#respond,"Cervical cancer, a largely preventable disease, remains a significant public health concern globally and in…"
Court,https://factly.in/category/court/,https://factly.in/review-odisha-hc-rules-that-voter-id-does-not-serve-as-conclusive-proof-of-date-of-birth/,https://factly.in/wp-content/uploads//2024/02/orissa-high-court-702x336.jpg,Review: Odisha HC Rules That Voter ID Does Not Serve as Conclusive Proof of Date of Birth,Suresh Deepala,https://factly.in/author/sureshdeepala/,"August 21, 2024",https://factly.in/review-odisha-hc-rules-that-voter-id-does-not-serve-as-conclusive-proof-of-date-of-birth/#respond,"In this edition of Court Judgements, we look at Delhi HC’s order that permitted the…"
Education,https://factly.in/category/education/,https://factly.in/data-nirf-score-differences-become-increasingly-narrow-as-one-moves-down-the-ranking-list/,https://factly.in/wp-content/uploads//2024/08/NIRF-featured-image-695x336.jpeg,Data: NIRF Score Differences Become Increasingly Narrow as One Moves Down the Ranking List,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"August 20, 2024",https://factly.in/data-nirf-score-differences-become-increasingly-narrow-as-one-moves-down-the-ranking-list/#respond,"Like other rankings, the NIRF rankings act as an objective measure for students deciding on…"
Olympics,https://factly.in/category/olympics/,https://factly.in/data-this-is-how-china-japan-south-korea-excelled-in-select-sports-to-improve-their-olympic-performance/,https://factly.in/wp-content/uploads//2024/07/paris-2024-olympics-702x336.jpg,"Data: This is How China, Japan, & South Korea Excelled in Select Sports to Improve Their Olympic Performance",Pavithra K M,https://factly.in/author/pavithrakm/,"August 19, 2024",https://factly.in/data-this-is-how-china-japan-south-korea-excelled-in-select-sports-to-improve-their-olympic-performance/#respond,Analysis of the Olympics Medal data indicates that there is a noticeable shift in dominance…
Government of India,https://factly.in/category/government-of-india/,https://factly.in/data-over-99-cases-registered-under-pmla-between-2014-2024-are-still-under-trial/,https://factly.in/wp-content/uploads//2024/08/collection-indian-currency-notes-are-displayed-wall-702x336.jpg,Data: Over 99% Cases Registered Under PMLA Between 2014 & 2024 are Still Under Trial,Suresh Deepala,https://factly.in/author/sureshdeepala/,"August 16, 2024",https://factly.in/data-over-99-cases-registered-under-pmla-between-2014-2024-are-still-under-trial/#respond,The bail provisions under the Prevention of Money Laundering Act (PMLA) are stringent and were…
Court,https://factly.in/category/court/,https://factly.in/review-high-time-the-trial-courts-and-the-high-courts-recognise-that-bail-is-the-rule-and-jail-an-exception-sc-says-while-granting-bail-to-manish-sisodia/,https://factly.in/wp-content/uploads//2021/05/Importand-COurt-JUdgements_Featured-Image-702x336.jpg,"Review:  ‘High Time the Trial Courts and the High Courts Recognise that Bail is the Rule and Jail an Exception’,  SC says While Granting Bail to Manish Sisodia",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"August 14, 2024",https://factly.in/review-high-time-the-trial-courts-and-the-high-courts-recognise-that-bail-is-the-rule-and-jail-an-exception-sc-says-while-granting-bail-to-manish-sisodia/#respond,"In this edition of Court Judgements, we look the SC’s comments in the bail petition…"
India,https://factly.in/category/india/,https://factly.in/data-indias-trade-with-bangladesh-increased-significantly-after-2010/,https://factly.in/wp-content/uploads//2020/07/Trade-Surplus-of-Goods_Featured-Image-702x336.jpg,Data: India’s Trade with Bangladesh Increased Significantly After 2010,Pavithra K M,https://factly.in/author/pavithrakm/,"August 12, 2024",https://factly.in/data-indias-trade-with-bangladesh-increased-significantly-after-2010/#respond,"India, which has historically enjoyed strong trade relations with Bangladesh is now staring at potential…"
Banks,https://factly.in/category/banks/,https://factly.in/data-between-2014-15-and-2023-24-psbs-collected-over-%e2%82%b915000-crores-in-penalties-for-failing-to-maintain-minimum-balances/,https://factly.in/wp-content/uploads//2017/03/SBI-announced-revised-charges_factly-702x336.jpg,"Data: Between 2014-15 and 2023-24, PSBs Collected Over ₹15,000 Crores in Penalties for Failing to Maintain Minimum Balances",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"August 9, 2024",https://factly.in/data-between-2014-15-and-2023-24-psbs-collected-over-%e2%82%b915000-crores-in-penalties-for-failing-to-maintain-minimum-balances/#respond,The Reserve Bank of India (RBI) does not set guidelines for the minimum balance in…
Court,https://factly.in/category/court/,https://factly.in/review-sc-rules-that-courts-should-award-just-fair-compensation-even-if-aggrieved-parties-claim-lesser-amount-under-motor-vehicles-act/,https://factly.in/wp-content/uploads//2021/05/Importand-COurt-JUdgements_Featured-Image-702x336.jpg,"Review: SC Rules That Courts Should Award Just & Fair Compensation, Even if Aggrieved Parties Claim Lesser Amount Under Motor Vehicles Act",Suresh Deepala,https://factly.in/author/sureshdeepala/,"August 7, 2024",https://factly.in/review-sc-rules-that-courts-should-award-just-fair-compensation-even-if-aggrieved-parties-claim-lesser-amount-under-motor-vehicles-act/#respond,"In this edition of Court Judgements, we look at the Supreme Court’s judgement that courts…"
India,https://factly.in/category/india/,https://factly.in/data-between-2014-2023-frequency-of-heavy-rainfall-events-reduced-in-karnataka-odisha-ap-while-increasing-in-mp-gujarat-up/,https://factly.in/wp-content/uploads//2024/08/Heavy-Rainfall_Image-702x336.jpg,"Data: Between 2014 & 2023, Frequency of Heavy Rainfall events reduced in Karnataka, Odisha & AP while increasing in MP, Gujarat & UP",Pavithra K M,https://factly.in/author/pavithrakm/,"August 6, 2024",https://factly.in/data-between-2014-2023-frequency-of-heavy-rainfall-events-reduced-in-karnataka-odisha-ap-while-increasing-in-mp-gujarat-up/#respond,"Extreme weather events have become more common in the recent years. Every year, around this…"
Education,https://factly.in/category/education/,https://factly.in/data-gst-revenue-from-coaching-industry-more-than-doubled-between-2019-20-and-2023-24/,https://factly.in/wp-content/uploads//2024/08/1693295706412-702x336.png,Data: GST Revenue from Coaching Industry More Than Doubled Between 2019-20 and 2023-24,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"August 5, 2024",https://factly.in/data-gst-revenue-from-coaching-industry-more-than-doubled-between-2019-20-and-2023-24/#respond,"The unfortunate incident at Rau’s IAS coaching centre in New Delhi, where three students lost…"
Government of India,https://factly.in/category/government-of-india/,https://factly.in/data-an-average-of-1000-people-died-in-accidents-in-factories-between-2012-2022/,https://factly.in/wp-content/uploads//2024/08/factory-accidents-featured-image-702x336.jpeg,Data: An Average of 1000 People Died in Accidents in Factories Between 2012 & 2022,Pavithra K M,https://factly.in/author/pavithrakm/,"August 2, 2024",https://factly.in/data-an-average-of-1000-people-died-in-accidents-in-factories-between-2012-2022/#respond,"According to the International Labour Organization’s analysis, nearly three million workers die every year worldwide…"
Court,https://factly.in/category/court/,https://factly.in/review-kerala-hc-rules-that-prohibition-of-child-marriage-act-2006-prevails-over-the-muslim-personal-law/,https://factly.in/wp-content/uploads//2022/07/Review-of-Court-Judgments_Featured-Image-1-702x336.jpg,"Review: Kerala HC Rules That Prohibition of Child Marriage Act, 2006 Prevails Over the Muslim Personal Law",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"July 31, 2024",https://factly.in/review-kerala-hc-rules-that-prohibition-of-child-marriage-act-2006-prevails-over-the-muslim-personal-law/#respond,"In this edition of Court Judgements, we look at the Supreme Court’s judgement on power…"
Crime,https://factly.in/category/crime/,https://factly.in/explainer-government-launches-chakshu-to-report-sms-call-or-whatsapp-messages-attempting-to-commit-fraud/,https://factly.in/wp-content/uploads//2022/03/Online-financial-fraud_Image-702x336.jpg,"Explainer: Government Launches ‘Chakshu’ to Report SMS, Call or WhatsApp Messages Attempting to Commit Fraud",Pavithra K M,https://factly.in/author/pavithrakm/,"July 30, 2024",https://factly.in/explainer-government-launches-chakshu-to-report-sms-call-or-whatsapp-messages-attempting-to-commit-fraud/#respond,"With the penetration of smartphones and increasingly sophisticated scam techniques, phone fraud is now one…"
Education,https://factly.in/category/education/,https://factly.in/data-more-than-19-of-those-who-scored-above-600-marks-in-neet-ug-2024-took-the-exam-from-centres-in-rajasthan/,https://factly.in/wp-content/uploads//2024/07/neet-featured-image-702x336.jpg,Data: More Than 19% of Those Who Scored Above 600 Marks in NEET (UG) 2024 Took the Exam from Centres in Rajasthan,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"July 29, 2024",https://factly.in/data-more-than-19-of-those-who-scored-above-600-marks-in-neet-ug-2024-took-the-exam-from-centres-in-rajasthan/#respond,The NEET-UG 2024 crisis has taken a significant turn with the Supreme Court’s recent directive…
India,https://factly.in/category/india/,https://factly.in/data-women-in-police-force-as-of-2022-is-about-12-much-below-the-recommended-33/,https://factly.in/wp-content/uploads//2024/07/featured-image-women-in-police-1-702x336.jpg,"Data: Women in Police Force as of 2022 is About 12%, Much Below the Recommended 33%",Suresh Deepala,https://factly.in/author/sureshdeepala/,"July 26, 2024",https://factly.in/data-women-in-police-force-as-of-2022-is-about-12-much-below-the-recommended-33/#respond,"In 2013, India had a total of 16.6 lakh police officers, with 97 thousand of…"
Court,https://factly.in/category/court/,https://factly.in/review-sc-rules-muslim-women-divorced-with-illegal-triple-talaq-can-claim-maintenance-under-crpc/,https://factly.in/wp-content/uploads//2021/05/Importand-COurt-JUdgements_Featured-Image-702x336.jpg,Review: SC Rules Muslim Women Divorced with Illegal Triple Talaq Can Claim Maintenance Under CrPC,Suresh Deepala,https://factly.in/author/sureshdeepala/,"July 24, 2024",https://factly.in/review-sc-rules-muslim-women-divorced-with-illegal-triple-talaq-can-claim-maintenance-under-crpc/#respond,"In this edition of Court Judgements review, we look SC’s ruling that in cases of…"
Olympics,https://factly.in/category/olympics/,https://factly.in/data-usa-still-dominates-the-olympics-but-china-catching-up/,https://factly.in/wp-content/uploads//2024/07/paris-2024-olympics-702x336.jpg,Data: USA Still Dominates the Olympics but China Catching Up,Pavithra K M,https://factly.in/author/pavithrakm/,"July 23, 2024",https://factly.in/data-usa-still-dominates-the-olympics-but-china-catching-up/#respond,USA has dominated the Modern Olympics winning over 2600 medals since the first games in…
Stories,https://factly.in/category/stories/,https://factly.in/data-as-gap-between-urban-rural-tele-density-shrinks-three-companies-hold-92-telecom-market-share/,https://factly.in/wp-content/uploads//2024/07/telecom-story-featured-image-702x336.jpeg,"Data: As Gap between Urban-Rural Tele-density Shrinks, Three Companies Hold 92% Telecom Market Share",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"July 22, 2024",https://factly.in/data-as-gap-between-urban-rural-tele-density-shrinks-three-companies-hold-92-telecom-market-share/#respond,"Historically, the Indian telecom market has been an oligopoly, where a few firms held a…"
Government of India,https://factly.in/category/government-of-india/,https://factly.in/data-price-rise-of-essential-commodities-more-significant-in-2019-2024-period-compared-to-2014-2019/,https://factly.in/wp-content/uploads//2021/03/Export-of-Essential-Commodities_Featured-Image-702x336.jpg,Data: Price Rise of Essential Commodities More Significant in 2019-2024 Period Compared to 2014 – 2019,Suresh Deepala,https://factly.in/author/sureshdeepala/,"July 19, 2024",https://factly.in/data-price-rise-of-essential-commodities-more-significant-in-2019-2024-period-compared-to-2014-2019/#respond,Data of average monthly retail price of essential commodities shows that the price rise of…
Court,https://factly.in/category/court/,https://factly.in/review-sc-rules-that-minor-discrepancies-in-spellings-not-sufficient-evidence-to-disprove-indian-citizenship/,https://factly.in/wp-content/uploads//2021/05/Importand-COurt-JUdgements_Featured-Image-702x336.jpg,Review: SC Rules that Minor Discrepancies in Spellings Not Sufficient Evidence to Disprove Indian Citizenship,Pavithra K M,https://factly.in/author/pavithrakm/,"July 17, 2024",https://factly.in/review-sc-rules-that-minor-discrepancies-in-spellings-not-sufficient-evidence-to-disprove-indian-citizenship/#respond,"In this edition of Court Judgements, we look at the Supreme Court’s orders in a…"
India,https://factly.in/category/india/,https://factly.in/data-over-3000-lives-lost-in-stampedes-between-2001-2022/,https://factly.in/wp-content/uploads//2024/07/Stampedes-in-India_Image-702x336.jpg,"Data: Over 3,000 Lives Lost in Stampedes between 2001 & 2022",Santosh Kaloji,https://factly.in/author/kaloji/,"July 16, 2024",https://factly.in/data-over-3000-lives-lost-in-stampedes-between-2001-2022/#respond,"According to the NCRB’s report titled ‘Accidental Deaths and Suicides in India’, between 2001 and…"
India,https://factly.in/category/india/,https://factly.in/data-for-more-than-10-years-vacancies-in-police-forces-across-the-country-at-over-20/,https://factly.in/wp-content/uploads//2024/07/indian-police-featured-702x336.jpeg,"Data: For More Than 10 Years, Vacancies in Police Forces Across the Country at Over 20%",Suresh Deepala,https://factly.in/author/sureshdeepala/,"July 15, 2024",https://factly.in/data-for-more-than-10-years-vacancies-in-police-forces-across-the-country-at-over-20/#respond,"As per data provided by the BPRD, between 2012 to 2022, the total number of…"
Government of India,https://factly.in/category/government-of-india/,https://factly.in/sdgs-review-india-makes-progress-on-some-while-challenges-remain-in-other/,https://factly.in/wp-content/uploads//2023/07/Sustainable-Development-Goals_image-702x336.png,SDGs Review: India Makes Progress on Some While Challenges Remain in Other,Pavithra K M,https://factly.in/author/pavithrakm/,"July 12, 2024",https://factly.in/sdgs-review-india-makes-progress-on-some-while-challenges-remain-in-other/#respond,"Every year, MoSPI releases a Progress Report on SDGs containing time series data, along with…"
Court,https://factly.in/category/court/,https://factly.in/review-supreme-court-rules-that-prosecutors-shouldnt-oppose-bail-if-unable-to-ensure-a-speedy-trial-even-for-serious-crimes/,https://factly.in/wp-content/uploads//2021/05/Importand-COurt-JUdgements_Featured-Image-702x336.jpg,"Review: Supreme Court Rules That Prosecutors Shouldn’t Oppose Bail if Unable to Ensure a Speedy Trial, Even for Serious Crimes",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"July 10, 2024",https://factly.in/review-supreme-court-rules-that-prosecutors-shouldnt-oppose-bail-if-unable-to-ensure-a-speedy-trial-even-for-serious-crimes/#respond,"In this edition of Court Judgements, we look at the Supreme Court’s judgements on grant…"
Cricket,https://factly.in/category/cricket/,https://factly.in/data-2024-t20-world-cup-holds-the-record-for-lowest-average-number-of-runs-per-match/,https://factly.in/wp-content/uploads//2024/07/T20-World-Cup_Image-702x336.jpg,Data: 2024 T20 World Cup Holds the Record for Lowest Average Number of Runs per Match,Suresh Deepala,https://factly.in/author/sureshdeepala/,"July 9, 2024",https://factly.in/data-2024-t20-world-cup-holds-the-record-for-lowest-average-number-of-runs-per-match/#respond,The 2024 T20 World Cup was the one to remember for the Bowlers. New Zealand…
India,https://factly.in/category/india/,https://factly.in/data-mps-of-18th-lok-sabha-take-oath-in-22-different-languages-significant-drop-in-share-of-mps-taking-oath-in-english/,https://factly.in/wp-content/uploads//2024/07/Lok-Sabha-Oath-Affirmations_Image-702x336.jpg,Data: MPs of 18th Lok Sabha Take Oath in 22 Different Languages; Significant Drop in Share of MPs Taking Oath in English,Pavithra K M,https://factly.in/author/pavithrakm/,"July 8, 2024",https://factly.in/data-mps-of-18th-lok-sabha-take-oath-in-22-different-languages-significant-drop-in-share-of-mps-taking-oath-in-english/#respond,Article 99 of the Constitution of India mandates that every MP must make an oath…
Government of India,https://factly.in/category/government-of-india/,https://factly.in/data-number-of-workers-engaged-in-unincorporated-non-agricultural-establishments-more-or-less-stagnant-since-2010-11/,https://factly.in/wp-content/uploads//2024/07/msme-featured-image-702x336.jpeg,Data: Number of Workers Engaged in Unincorporated Non-Agricultural Establishments More or Less Stagnant Since 2010-11,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"July 5, 2024",https://factly.in/data-number-of-workers-engaged-in-unincorporated-non-agricultural-establishments-more-or-less-stagnant-since-2010-11/#respond,The NSSO initiated the Annual Survey of Unincorporated Sector Enterprises (ASUSE). This survey collects information…
Court,https://factly.in/category/court/,https://factly.in/review-telangana-hc-rules-that-continuous-desertion-and-filing-of-numerous-cases-by-spouse-constitutes-cruelty/,https://factly.in/wp-content/uploads//2024/07/court_image-702x336.jpg,Review: Telangana HC Rules That Continuous Desertion and Filing of Numerous Cases by Spouse Constitutes Cruelty,Suresh Deepala,https://factly.in/author/sureshdeepala/,"July 3, 2024",https://factly.in/review-telangana-hc-rules-that-continuous-desertion-and-filing-of-numerous-cases-by-spouse-constitutes-cruelty/#respond,"In this edition of court judgements review, we look at the Madras HC ruling that…"
Education,https://factly.in/category/education/,https://factly.in/review-niti-aayog-calls-for-strategic-interventions-at-various-levels-to-improve-rd-culture-in-state-universities/,https://factly.in/wp-content/uploads//2024/07/Research-and-Development_Image-702x336.jpg,Review: NITI Aayog Calls for Strategic Interventions at Various Levels to Improve R&D Culture in State Universities,Pavithra K M,https://factly.in/author/pavithrakm/,"July 2, 2024",https://factly.in/review-niti-aayog-calls-for-strategic-interventions-at-various-levels-to-improve-rd-culture-in-state-universities/#respond,"NITI Aayog recently released a report, “Improving the Culture of Research and Development (R&D) in…"
Death,https://factly.in/category/life/death/,https://factly.in/data-more-than-22000-deaths-reported-due-to-consumption-of-illicit-liquor-since-2002/,https://factly.in/wp-content/uploads//2024/07/Consumption-of-Illicit-Liquor_image-702x336.jpg,Data: More than 22000 Deaths Reported due to Consumption of Illicit Liquor Since 2002,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"July 1, 2024",https://factly.in/data-more-than-22000-deaths-reported-due-to-consumption-of-illicit-liquor-since-2002/#respond,Data from the NCRB’s ADSI reports indicates that more than 22000 deaths were reported due…
Elections,https://factly.in/category/elections/,https://factly.in/data-30-of-18th-lok-sabha-mps-declared-their-profession-as-agriculture-allied-activities/,https://factly.in/wp-content/uploads//2024/06/Lok-Sabha-MPs-702x336.jpg,Data: 30% of 18th Lok Sabha MPs Declared Their Profession as Agriculture/Allied Activities,Suresh Deepala,https://factly.in/author/sureshdeepala/,"June 28, 2024",https://factly.in/data-30-of-18th-lok-sabha-mps-declared-their-profession-as-agriculture-allied-activities/#respond,"As per the data on the Lok Sabha website, 41 political parties have representation in…"
Court,https://factly.in/category/court/,https://factly.in/review-karnataka-hc-scatological-or-salacious-statements-against-women-insult-their-modesty/,https://factly.in/wp-content/uploads//2023/03/Court-Judgements_-Image-702x336.jpg,Review: Karnataka HC: Scatological or Salacious Statements Against Women Insult Their Modesty,Pavithra K M,https://factly.in/author/pavithrakm/,"June 26, 2024",https://factly.in/review-karnataka-hc-scatological-or-salacious-statements-against-women-insult-their-modesty/#respond,"In this edition of court judgements, we look at the Karnataka HC’s orders that scatological…"
Education,https://factly.in/category/education/,https://factly.in/data-mbbs-seats-have-doubled-in-the-last-10-years-huge-regional-disparities-with-south-leading-in-availability/,https://factly.in/wp-content/uploads//2021/05/Covid-19-duties_featured-image-702x336.jpg,Data: MBBS Seats have doubled in the last 10 years; Huge Regional Disparities with South Leading in Availability,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"June 25, 2024",https://factly.in/data-mbbs-seats-have-doubled-in-the-last-10-years-huge-regional-disparities-with-south-leading-in-availability/#respond,"Over the past decade, the process for admission to MBBS programs in India has transformed…"
