Title,Link,Image,Author,Date,Description,Fake News
"2024 Rewind: Misinfo During LS Polls, Bangladesh Turmoil, and AI Hoaxes",https://www.boomlive.in/yearender/2024-rewind-trends-misinformation-lok-sabha-elections-artificial-intelligence-bangladesh-turmoil-maharashtra-haryana-assembly-elections-27376,https://www.boomlive.in/h-upload/2024/12/24/500x300_1037679-top-events-of-2024-and-fake-news-01.webp,Anmol Alphonso,31 Dec 2024 9:11 AM IST,BOOM recounts the top events of 2024 that triggered a flurry of misinformation.,TRUE
Viral Photo Does Not Show Manmohan Singh Touching Sonia Gandhi's Feet,https://www.boomlive.in/fact-check/viral-image-misidentifies-manmohan-singh-with-sonia-gandhi-fact-check-27365,https://www.boomlive.in/h-upload/2024/12/30/500x300_1037934-manmohan-and-sonia-0223.webp,Srijanee Chakraborty,30 Dec 2024 3:43 PM IST,An image of a man touching Congress leader Sonia Gandhi's feet has surfaced on social media misidentifying him as the late Indian Prime Minister Manmohan Singh.,FALSE
Video Does Not Show Hindu Woman Raped And Tortured In Bangladesh,https://www.boomlive.in/fact-check/viral-video-hindu-woman-rape-torture-bangladesh-communal-claim-fact-check-27360,https://www.boomlive.in/h-upload/2024/12/30/500x300_1037937-hindu-woman-01.webp,Tausif Akbar,29 Dec 2024 2:04 PM IST,BOOM found that the woman in the video is a Muslim who was chased by a mob on suspicions of being a robber in Bangladesh.,FALSE
BJP Delhi Shares Edited Image To Show Potholes In Delhi Roads After Rains,https://www.boomlive.in/fact-check/bjp-delhi-doctored-image-potholes-delhi-roads-misleading-claim-debunked-27357,https://www.boomlive.in/h-upload/2024/12/30/500x300_1037939-aap-01.webp,Archis Chowdhury,29 Dec 2024 1:37 PM IST,"The original photo, showed a damaged road, but did not contain as many potholes as seen in the viral image.",FALSE
Viral Posts Falsely Claim Rahul Gandhi Did Not Attend Manmohan Singh's Funeral,https://www.boomlive.in/fact-check/factcheck-rahul-gandhi-manmohan-singh-death-congress-27351,https://www.boomlive.in/h-upload/2024/12/28/500x300_1037853-manmohan-078.webp,Nidhi Jacob,28 Dec 2024 7:41 PM IST,Live footage shows Rahul Gandhi and other senior Congress leaders paying their final respects to the former prime minister in New Delhi,TRUE
Manmohan Singh's Old Photo At A Hospital Viral As His Final Moments,https://www.boomlive.in/fact-check/factcheck-manmohan-singh-passes-away-2021-hospital-photo-misleading-27350,https://www.boomlive.in/h-upload/2024/12/28/500x300_1037847-manmohan-04.webp,Nidhi Jacob,28 Dec 2024 2:56 PM IST,"BOOM found that the viral image is from 2021 when Singh was hospitalised at AIIMS, Delhi.",FALSE
Reels To Votes: How Political Parties Tapped Influencers' Reach in 2024,https://www.boomlive.in/decode/reels-to-votes-how-political-parties-tapped-influencers-reach-in-2024-27295,https://www.boomlive.in/h-upload/2024/12/23/500x300_1037610-bjp-and-congress-party-symbols-01.webp,Hera Rizwan,23 Dec 2024 10:17 AM IST,"In 2024, political parties turned to influencers to amplify campaigns, using their digital reach to shape public opinion and promote government initiatives, cultural narratives, and political agendas.",FALSE
Scripted Video of Police Helping Roadside Vendor Viral As Real,https://www.boomlive.in/fact-check/scripted-video-police-helping-vendor-viral-claim-debunked-27292,https://www.boomlive.in/h-upload/2024/12/22/500x300_1037566-scripted-video-feature.webp,Srijanee Chakraborty,22 Dec 2024 2:58 PM IST,"A scripted video showing police officials helping a roadside vegetable vendor whose saree was stuck under a car's wheel is viral on social media as real incident, with posts commending the Indian police for their good work.",FALSE
Video Of Lawyers Assaulting Woman In Pakistan Revived With False Claim,https://www.boomlive.in/fast-check/hindu-woman-attacked-by-lawyers-in-pakistan-video-claim-fact-check-27290,https://www.boomlive.in/h-upload/2024/12/22/500x300_1037565-feature-image-pakistan-hindu.webp,Srijit Das,22 Dec 2024 1:24 PM IST,"BOOM found that the woman was not Hindu but Muslim. She was identified as Amrat Shehzadi, a resident of Shahpur Bhanguk, Pakistan.",TRUE
False Claims About 2017 CBI Raid On Prannoy Roy Resurface,https://www.boomlive.in/fact-check/factcheck-prannoy-roy-ndtv-false-claim-2017-cbi-raid-muslim-name-27288,https://www.boomlive.in/h-upload/2024/12/21/500x300_1037552-prannoy-roy-and-radhika-roy-02.webp,Nidhi Jacob,21 Dec 2024 5:51 PM IST,"BOOM found that the CBI?s press note on the 2017 raid does not mention Prannoy Roy?s full name, his father?s name, or his birthplace",TRUE
Rahul Gandhi Admits Pushing BJP MP? BJP Leaders Share Cropped Video,https://www.boomlive.in/fact-check/rahul-gandhi-false-admission-pushing-bjp-mp-parliament-video-viral-debunked-27275,https://www.boomlive.in/h-upload/2024/12/19/500x300_1037490-anurag-thakur-and-rahul-gandhi-03.webp,Archis Chowdhury,20 Dec 2024 9:45 AM IST,A video of Rahul Gandhi was edited to falsely suggest he admitted to pushing a BJP MP Pratap Chandra Sarangi in parliament.,TRUE
"Claims On 'One Nation, One Election' Bills Passing In Lok Sabha Are Misleading",https://www.boomlive.in/fact-check/one-nation-one-election-lok-sabha-rajya-sabha-misleading-27274,https://www.boomlive.in/h-upload/2024/12/19/500x300_1037492-one-nation-01.webp,Nidhi Jacob,19 Dec 2024 7:34 PM IST,"The Lok Sabha has introduced two Bills on ?One Nation, One Election? for discussion, but they have not yet been passed into law",TRUE
False Claims Of Sabarimala?s Aravana Prasadam Made In UAE Revived,https://www.boomlive.in/fast-check/sabarimala-temple-aravana-prasadam-made-by-uaes-al-zahaa-company-muslim-fake-news-27270,https://www.boomlive.in/h-upload/2024/12/19/500x300_1037485-al-zahaa-0002.webp,Anmol Alphonso,19 Dec 2024 2:04 PM IST,Al Zahaa sweets and the Travancore Devasom Board which is in-charge of the Sabarimala temple had rubbished the claim in 2021,TRUE
Old Video Of Student Asking About Muslim Representation Linked To Trump's Cabinet,https://www.boomlive.in/fact-check/woman-question-muslim-inclusion-in-united-states-trump-cabinet-old-video-2014-fake-news-27265,https://www.boomlive.in/h-upload/2024/12/18/500x300_1037440--01.webp,Anmol Alphonso,18 Dec 2024 6:53 PM IST,"BOOM found that the viral video is from June, 2014 and not related to US President elect Donald Trump's recent cabinet picks.",FALSE
Scripted Video Peddled As Woman Being Harassed On A Bus In Delhi,https://www.boomlive.in/fact-check/delhi-viral-video-woman-bus-harassment-incident-fact-check-27264,https://www.boomlive.in/h-upload/2024/12/18/500x300_1037450-bus-aap-02.webp,Srijit Das,18 Dec 2024 6:02 PM IST,"BOOM found that the video was scripted by digital creator Aman Beniwal, with a disclaimer stating it was made for entertainment purposes.",FALSE
Fake Amul Ad Targeting Gandhi Family Revived,https://www.boomlive.in/fast-check/an-image-showing-amul-ad-targeting-gandhi-family-rahul-gandhi-priyanka-gandhi-sonia-gandhi-rajiv-gandhi-indira-gandhi-27263,https://www.boomlive.in/h-upload/2024/12/18/500x300_1037441-rg-and-amul-01.webp,Sista Mukherjee,18 Dec 2024 4:18 PM IST,BOOM found that the original Amul ad welcomed Priyanka Gandhi Vadra on her formal entry into politics.,TRUE
Everything You Need to Know About the Tatkal Passport Scheme,https://www.boomlive.in/partner-content/everything-you-need-to-know-about-the-tatkal-passport-scheme-27262,https://www.boomlive.in/h-upload/2024/12/18/500x300_1037435-everything-you-need-to-know-about-the-tatkal-passport-scheme-1.webp,Partner Content,18 Dec 2024 12:41 PM IST,"Travel plans can be  thrilling, but they often come with a sense of urgency, especially if your  passport needs to be renewed or issued at the eleventh hour. This is where the  Tatkal Passport Scheme...",FALSE
Why is There a Need for Health Insurance Awareness in India?,https://www.boomlive.in/partner-content/why-is-there-a-need-for-health-insurance-awareness-in-india-27261,https://www.boomlive.in/h-upload/2024/12/18/500x300_1037434-why-is-there-a-need-for-health-insurance-awareness-in-india-1.webp,Partner Content,18 Dec 2024 12:41 PM IST,"Health insurance  planning has become an essential tool for financial protection today. However,  in India, awareness about health insurance and its benefits is still lacking.  This lack of awareness...",FALSE
WhatsApp to LinkedIn: How Social Media Fueled a Surge in Cyber Scams In 2024,https://www.boomlive.in/decode/whatsapp-to-linkedin-how-social-media-fueled-a-surge-in-cyber-scams-in-2024-27259,https://www.boomlive.in/h-upload/2024/12/17/500x300_1037417-job-scam-03.webp,Hera Rizwan,18 Dec 2024 10:12 AM IST,"This year, Decode reported on how scammers have adapted to the changing digital landscape, using familiar social media platforms like WhatsApp, Facebook and YouTube to mislead and defraud unsuspecting victims.",FALSE
Unrelated Photos Of Hindu Idols Falsely Linked To Sambhal Mosque Survey,https://www.boomlive.in/fact-check/hindu-idols-discoverd-shahi-jama-masjid-in-sambhal-unrelated-old-photos-fake-news-27253,https://www.boomlive.in/h-upload/2024/12/17/500x300_1037385-sabmbhal-mosque-02.webp,Anmol Alphonso,17 Dec 2024 3:41 PM IST,"BOOM found that the set of four photos are unrelated and were not captured after the survey at Shahi Jama Masjid in Sambhal, Uttar Pradesh.",TRUE
Locked Out of WhatsApp? Here's What to Do If Your Account Is Hacked,https://www.boomlive.in/decode/locked-out-of-whatsapp-heres-what-to-do-if-your-account-is-hacked-27246,https://www.boomlive.in/h-upload/2024/12/16/500x300_1037357-whatsapp-01.webp,Hera Rizwan,16 Dec 2024 4:11 PM IST,A Mumbai-based couple fell victim to a WhatsApp hack after receiving a deceptive message from a colleague. Here?s how it unfolded.,FALSE
Video Does Not Show Muslims Destroying Crops Of Hindu Farmers In Bangladesh,https://www.boomlive.in/fact-check/false-claims-muslims-burnt-hindu-farmers-crops-in-bangladesh-27239,https://www.boomlive.in/h-upload/2024/12/15/500x300_1037282-bd-hindu-crops-burnt.webp,Srijanee Chakraborty,15 Dec 2024 3:56 PM IST,A video of a farmer weeping after his crops were destroyed by fire is circulating with a false communal claim that Muslims have burnt crops grown by Hindus in Bangladesh.,TRUE
Video From Halloween Party In China Viral As Hindus Burnt Alive In Bangladesh,https://www.boomlive.in/fact-check/bangladesh-video-two-hindu-men-burnt-alive-old-video-halloween-china-27235,https://www.boomlive.in/h-upload/2024/12/14/500x300_1037255-mannequin-during-a-halloween-party-06.webp,Anmol Alphonso,14 Dec 2024 3:19 PM IST,BOOM found that the viral video shows two mannequins set on fire from a Halloween party in Chimelong Ocean Kingdom theme park in China.,FALSE
Video Of Babri Masjid Clip Screened In Maharashtra Peddled As Bangladesh,https://www.boomlive.in/fact-check/documentary-on-babri-demolition-shown-in-maharashtra-goes-viral-as-being-from-bangladesh-fake-news-27227,https://www.boomlive.in/h-upload/2024/12/13/500x300_1037229-babri-masjid-02.webp,Jagriti Trisha,13 Dec 2024 4:20 PM IST,"BOOM found that the documentary in the viral video was screened by SDPI on December 6, 2024, on the anniversary of the demolition of the Babri Masjid, in Mumbra, Maharashtra.",FALSE
"NEFN Sikkim Roundtable: Focus on Ethnic History, Development & Ecology",https://www.boomlive.in/citations/nefn-sikkim-roundtable-focus-on-ethnic-history-development-ecology-27226,https://www.boomlive.in/h-upload/2024/12/13/500x300_1037232-sikkim-speaker-post1500x900-copy.webp,Sabina Yasmin Rahman,13 Dec 2024 3:49 PM IST,Experts discussed Sikkim's transition from an erstwhile kingdom to a modern republic and the developments that followed,FALSE
Can Scammers Steal Money When You Check Your UPI Balance? Here?s What Experts Say,https://www.boomlive.in/can-scammers-steal-money-when-you-check-your-upi-balance-heres-what-experts-say,https://www.boomlive.in/h-upload/2024/12/13/500x300_1037215-13-12-2024-decode.webp,Hera Rizwan,13 Dec 2024 1:55 PM IST,"A viral WhatsApp message warns of a new UPI scam, claiming scammers can withdraw money when users check their balance after receiving unexpected deposits. Experts debunk if this is technically possible.",FALSE
"Halt On New Pleas, Freeze On Mandir-Masjid Claims Till Places Of Worship Act Examined: SC",https://www.boomlive.in/law/supreme-court-places-of-worship-act-gyanvapi-mosque-shahi-eidgah-mathura-sambhal-mosque-mandir-masjid-dispute-27221,https://www.boomlive.in/h-upload/2024/12/12/500x300_1037182-sc-with-gyanvapi-mosque-01.webp,Ritika Jain,12 Dec 2024 5:23 PM IST,The Supreme Court's decision to examine the Places of Worship Act could reshape the legal landscape for religious sites in India.,FALSE
Video From Bihar Peddled As Hindu Family Killed In Bangladesh,https://www.boomlive.in/fact-check/video-from-bihar-peddled-as-hindu-family-killed-inbangladesh-27220,https://www.boomlive.in/h-upload/2024/12/12/500x300_1037179-img20241212170149-min.webp,Srijanee Chakraborty,12 Dec 2024 5:07 PM IST,"BOOM found that the incident of quadruple murder-suicide happened in Purnea, Bihar, where a woman killed her three minor children and died by suicide.",FALSE
How A Woman Got Misidentified As Wife Of Bengaluru Suicide Victim,https://www.boomlive.in/fact-check/bengaluru-suicide-victim-viral-image-misidentification-fact-check-27218,https://www.boomlive.in/h-upload/2024/12/12/500x300_1037170-atul-548.webp,Archis Chowdhury,12 Dec 2024 3:15 PM IST,"The viral image does not depict the wife of the Bengaluru suicide victim, Atul Subhash, but another woman who has the same name.",FALSE
AI Generated Photo Shared As Bangladeshi Man Disrespecting Indian Flag,https://www.boomlive.in/fact-check/bangladesh-indian-flag-disrespect-image-viral-fact-check-27213,https://www.boomlive.in/h-upload/2024/12/11/500x300_1037138--01.webp,Srijit Das,11 Dec 2024 4:34 PM IST,BOOM found that the photo is generated using AI and does not show a real visual.,FALSE
How Loans Help Entrepreneurs Scale Their Business,https://www.boomlive.in/partner-content/how-loans-help-entrepreneurs-scale-their-business-27211,https://www.boomlive.in/h-upload/2024/12/11/500x300_1037107-how-loans-help-entrepreneurs-scale-their-business-1.webp,Partner Content,11 Dec 2024 2:32 PM IST,"As a business  owner, it is important to have easy access to funds. This way you not only  expand your business but also attain a strong market position. One of the best  ways to secure these funds is...",FALSE
Video Of Homeless Man In Bangladesh Peddled As Sadhu Forcibly Converted,https://www.boomlive.in/fact-check/bangladesh-hindu-monk-conversion-islam-video-fact-check-27204,https://www.boomlive.in/h-upload/2024/12/09/500x300_1037073-bangladesh-hindu-feature-image.webp,Srijit Das,9 Dec 2024 7:30 PM IST,BOOM found that the person in the video is a Muslim and not a Hindu monk as being claimed online.,FALSE
Syria Without Assad: What Does the Future Hold?,https://www.boomlive.in/explainers/syria-without-assad-what-does-the-future-hold-27202,https://www.boomlive.in/h-upload/2024/12/09/500x300_1037065-syrian-president-bashar-al-assad-01.webp,The Conversation,9 Dec 2024 5:15 PM IST,"The fall of President Bashar al-Assad raises critical questions about Syria?s future, the unity of opposition factions, and the role of key international players like Russia, Iran, Turkey, and the U.S.",FALSE
"""India Will Run By Wishes Of The Majority"": Allahabad HC Judge Sparks Outrage",https://www.boomlive.in/law/allahabad-high-court-justice-shekhar-yadav-uniform-civil-code-vhp-event-controversy-27201,https://www.boomlive.in/h-upload/2024/12/09/500x300_1037064-vhp-01.webp,Ritika Jain,9 Dec 2024 4:40 PM IST,Allahabad HC judge courted controversy with his communal rhetoric and remarks on the UCC.,FALSE
Uddhav Thackeray Did Not Praise Mughal Emperor Babar; Fake Graphic Viral,https://www.boomlive.in/fact-check/uddhav-thackeray-praised-emperor-babar-saying-he-gave-his-life-for-india-fake-quote-fake-news-graphic-sakal-news-27199,https://www.boomlive.in/h-upload/2024/12/09/500x300_1037041-uddhav-03.webp,Anmol Alphonso,9 Dec 2024 3:58 PM IST,"BOOM found that the viral graphic attributed to Sakal is fake, and has been rubbished by the Marathi newspaper.",TRUE
Video Of Student Groups Clashing In Bangladesh Peddled With False Communal Spin,https://www.boomlive.in/fact-check/students-clash-video-bangladesh-hindu-students-attacked-false-claim-fake-news-27189,https://www.boomlive.in/h-upload/2024/12/07/500x300_1036998-mujibur-rehman-college-02.webp,Anmol Alphonso,7 Dec 2024 4:05 PM IST,"BOOM found that the incident in the viral video shows a fight between groups of students from opposing colleges in Dhaka, Bangladesh.",TRUE
How A Google Search Cost A Hyderabad Woman Rs 2 Lakhs,https://www.boomlive.in/decode/how-a-google-search-cost-a-hyderabad-woman-rs-2-lakhs-seo-poisoning-scam-27177,https://www.boomlive.in/h-upload/2024/12/05/500x300_1036941-seo-66.webp,Hera Rizwan,5 Dec 2024 2:12 PM IST,SEO poisoning occurs when cybercriminals exploit search engine algorithms to push harmful websites to the top of search results. Experts caution that these scams frequently capitalise on trending topics to deceive unsuspecting users.,FALSE
Chinmoy Das Arrest In Bangladesh: Who Is Injured Lawyer Ramen Roy,https://www.boomlive.in/fact-check/chinmoy-das-arrest-in-bangladesh-who-is-injured-lawyer-ramen-roy-27175,https://www.boomlive.in/h-upload/2024/12/04/500x300_1036925-das-01.webp,Swasti Chatterjee,5 Dec 2024 8:12 AM IST,"BOOM found that Ramen Roy, a Dhaka based lawyer, was attacked in a protest in Dhaka on November 25, the day Chinmoy Krishna Das was arrested.",FALSE
News Outlets Misreport Scripted Video As Father Marrying His Daughter,https://www.boomlive.in/fact-check/social/viral-video-father-daughter-marriage-controversy-fact-check-27170,https://www.boomlive.in/h-upload/2024/12/04/500x300_1036912-a-24-year-old-woman-introduces-her-50-year-old-father-02.webp,Srijit Das,4 Dec 2024 5:26 PM IST,BOOM debunks the viral video misreported as a 24-year-old woman married her 50-year-old father and reveals it to be scripted content by a creator. Read the full fact-check,FALSE
Video Of Attack On Sufi Shrine Peddled As Temple Vandalised In Bangladesh,https://www.boomlive.in/fact-check/hindu-temple-attacked-bangladesh-video-old-sufi-shrine-vandalised-fake-news-27167,https://www.boomlive.in/h-upload/2024/12/04/500x300_1036877-hindu-temple-03.webp,Anmol Alphonso,4 Dec 2024 4:23 PM IST,"BOOM found that the viral video is from an attack on a Sufi shrine in Sirajganj, Bangladesh in August this year.",FALSE
TRAI Denies OTP Delay Claims. Here?s What the New Regulation Means,https://www.boomlive.in/explainers/trai-denies-otp-delay-claims-heres-what-the-new-regulation-means-27166,https://www.boomlive.in/h-upload/2024/12/04/500x300_1036885-trai-012.webp,Hera Rizwan,4 Dec 2024 2:03 PM IST,"TRAI has dismissed the claims about disruption in OTP delivery, reassuring the citizens that the new traceability guidelines are meant to improve accountability and combat fraud.",FALSE
Hare Krishna To ?Militant?: How ISKCON Got At The Centre Of Bangladesh Crisis,https://www.boomlive.in/explainers/iskcon-bangladesh-crisis-misinformation-social-media-fuelled-calls-for-ban-after-priest-arrest-lawyer-killed-27165,https://www.boomlive.in/h-upload/2024/12/04/500x300_1036875-iskcon-01.webp,Snigdhendu Bhattacharya,4 Dec 2024 10:45 AM IST,"The transformation of ISKCON?s image, a global Hindu organisation with chapters in India, the US and Europe, to an alleged fundamentalist organisation played out a lot on Bangladesh?s digital landscape.",FALSE
Violence Between Muslim Groups In Bangladesh Viral As Communal Attack On Hindus,https://www.boomlive.in/fact-check/bangladesh-mob-attack-false-claims-viral-video-debunked-27162,https://www.boomlive.in/h-upload/2024/12/01/500x300_1036779-islamist-mob-attacked-a-villagejpg-false.webp,Archis Chowdhury,3 Dec 2024 4:41 PM IST,BOOM found that footage of an attack on an Islamic shrine in Bangladesh is falsely shared as a communal attack on Hindus.,TRUE
Photo Showing Pregnant Hindu Woman Kissing Minor Muslim Boy Is AI Generated,https://www.boomlive.in/fact-check/ai-photo-hindu-pregnant-woman-kissing-muslim-minor-boy-fake-news-falsely-attributed-ndtv-factcheck-27159,https://www.boomlive.in/h-upload/2024/12/03/500x300_1036861-riya-03.webp,Anmol Alphonso,3 Dec 2024 3:53 PM IST,"BOOM found that the viral AI-generated photo was not posted by NDTV India. There has been no such incident reported by media outlets in Nainital, Uttarakhand",FALSE
Infosys' $34 Mn Fine For Alleged Visa Fraud In US In 2013 Misreported As Recent,https://www.boomlive.in/fact-check/infosys-34-million-fine-misleading-claims-viral-social-media-27154,https://www.boomlive.in/h-upload/2024/12/02/500x300_1036822-narayana-murthy-01.webp,Archis Chowdhury,2 Dec 2024 5:08 PM IST,"BOOM found that reports of Infosys facing a $34 million fine are misleading, as the event occurred in 2013.",TRUE
RT India Peddles Video Of Kali Idol Dismantling Tradition In WB As Vandalism,https://www.boomlive.in/fact-check/bangladesh-mob-hindu-temple-kali-idol-destruction-video-fact-check-27153,https://www.boomlive.in/h-upload/2024/12/02/500x300_1036801-hindu-temple-attacked-in-bangladesh-03.webp,Srijit Das,2 Dec 2024 4:50 PM IST,BOOM found that the video is from East Bardhaman district in West Bengal and there is no communal angle to the incident.,FALSE
Old Video Of Anti-EVM Protest In Delhi Falsely Peddled As Maharashtra,https://www.boomlive.in/fact-check/evm-protest-video-maharashtra-election-old-video-delhi-anti-evm-protest-factcheck-27137,https://www.boomlive.in/h-upload/2024/11/30/500x300_1036748-evm-02.webp,Anmol Alphonso,30 Nov 2024 2:39 PM IST,"BOOM found that the viral video is from Janauary 2024, from an anti-EVM protest held at Jantar Mantar, Delhi.",TRUE
Video Claiming Arvind Kejriwal Ignored Rahul Gandhi's Handshake Is Cropped,https://www.boomlive.in/fact-check/jharkhand-elections-hemant-arvind-kejriwal-refused-handshake-with-rahul-gandhi-false-claim-video-hemant-soren-oath-ceremony-fake-news-27121,https://www.boomlive.in/h-upload/2024/11/29/500x300_1036703-anifalse.webp,Anmol Alphonso,29 Nov 2024 6:02 PM IST,A longer video of the oath taking ceremony of Hemant Soren shows the viral clip is misleading and that Kejriwal shook hands with Gandhi.,TRUE
EC Clarifies Discrepancy Between Votes Polled & Counted In Maharashtra,https://www.boomlive.in/explainers/maharashtra-assembly-elections-2024-evm-postal-votes-eci-27120,https://www.boomlive.in/h-upload/2024/11/28/500x300_1036669-evm-maharashtra-02.webp,Nidhi Jacob,29 Nov 2024 4:59 PM IST,Viral posts on X did not account for the postal votes cast. The Chief Electoral Officer of Maharashtra confirmed that no extra votes were counted.,FALSE
Video Of Women Protesting Topless in France Viral With False Claim,https://www.boomlive.in/fact-check/france-paris-topless-women-protest-false-claim-kurdish-iran-viral-video-fact-check-27112,https://www.boomlive.in/h-upload/2024/11/28/500x300_1036662--02.webp,Nivedita Niranjankumar,28 Nov 2024 7:03 PM IST,"BOOM found that the video shows women part of the international radical feminist group FEMEN, protesting against incidents of violence toward women.",TRUE
Video Showing Modi Supporting Ballots Over EVM At A Rally Is Cropped,https://www.boomlive.in/fact-check/video-showing-modi-supporting-ballots-over-evm-at-a-rally-is-cropped-27109,https://www.boomlive.in/h-upload/2024/11/28/500x300_1036658-ballot-papers-02.webp,Archis Chowdhury,28 Nov 2024 6:07 PM IST,A longer version of the clip shows Modi praising India's use of EVMs and criticises the countries that still use ballot papers.,FALSE
"Data: While the Number of Arrests Under the NDPS Act Increased in Recent Years, Convictions Remain Very Low",https://factly.in/data-while-the-number-of-arrests-under-the-ndps-act-increased-in-recent-years-convictions-remain-very-low/,https://factly.in/wp-content/uploads//2016/07/Drug-abuse-suicides_factly.in-image-702x336.png,Suresh Deepala,10-Mar-25,Increasing Drug abuse has been a major concern across the world. The United Nations (UN)?,FALSE
"Data: NSO?s Time Use Survey Indicates a 12% Increase in Daily Time Spent on Culture, Leisure, Mass-Media and Sports Activities",https://factly.in/data-nsos-time-use-survey-indicates-a-12-increase-in-daily-time-spent-on-culture-leisure-mass-media-and-sports-activities/,https://factly.in/wp-content/uploads//2025/03/time-use-survey-featured-image-702x336.png,Sai Krishna Muthyanolla,07-Mar-25,The National Statistical Office conducted its first Time Use Survey in 2019. The survey measured?,TRUE
Review: Patna HC Rules That Family is the Best Institution for Juvenile Rehabilitation and Reintegration,https://factly.in/review-patna-hc-rules-that-family-is-the-best-institution-for-juvenile-rehabilitation-and-reintegration/,https://factly.in/wp-content/uploads//2025/03/Patna-High-court-featured-image-702x336.jpg,Pavithra K M,05-Mar-25,"In this edition of the Court Judgements review, we look at the Supreme Court?s judgement?",FALSE
Review: What is India?s National Policy for Rare Diseases?,https://factly.in/review-what-is-indias-national-policy-for-rare-diseases/,https://factly.in/wp-content/uploads//2025/03/rare-diseases-featured-image-702x336.jpg,Suresh Deepala,04-Mar-25,"As per India?s National Policy for Rare Diseases (NPRD), there are between 7000-8000 such rare?",TRUE
"Data: As of March 2022, Nearly 5.02 Lakh Cases Remained Unresolved at Commissioner of Income Tax (Appeals) Amounting to ?14.18 Lakh Crores",https://factly.in/data-as-of-march-2022-nearly-5-02-lakh-cases-remained-unresolved-at-commissioner-of-income-tax-appeals-amounting-to-%e2%82%b914-18-lakh-crores/,https://factly.in/wp-content/uploads//2021/03/Cesses-Surcharges_Image-702x336.jpg,Sai Krishna Muthyanolla,03-Mar-25,"Data indicates that by the end of 2021-22, nearly 5.02 lakh cases remained unresolved at?",FALSE
Data: Medical Visas Issued by India Down More Than 20% in 2024 on Account of Political Unrest in Bangladesh,https://factly.in/data-medical-visas-issued-by-india-down-more-than-20-in-2024-on-account-of-political-unrest-in-bangladesh/,https://factly.in/wp-content/uploads//2025/02/medical-tourism-india-featured-image-702x336.jpg,Pavithra K M,28-Feb-25,"India introduced the Medical Visa in June 2005. In the last many years, India has?",TRUE
"Review: Odisha HC Rules That in The Jurisprudence of Sexual Offences, Absence or Presence of Consent is The Very Essence of Criminal Culpability.",https://factly.in/review-odisha-hc-rules-that-in-the-jurisprudence-of-sexual-offences-absence-or-presence-of-consent-is-the-very-essence-of-criminal-culpability/,https://factly.in/wp-content/uploads//2024/02/orissa-high-court-702x336.jpg,Sai Krishna Muthyanolla,26-Feb-25,"In this edition of the Court Judgements review, we look at the Supreme Court?s judgements?",FALSE
"Data: As of 2023-24, more than 90% of The Unrealized Tax Revenue is Corporation & Income Tax Related",https://factly.in/data-as-of-2023-24-more-than-90-of-the-unrealized-tax-revenue-is-corporation-income-tax-related/,https://factly.in/wp-content/uploads//2021/03/Cesses-Surcharges_Image-702x336.jpg,Sai Krishna Muthyanolla,25-Feb-25,Data from the budget documents indicates that a significant portion of taxes remain locked in?,FALSE
"Data: Karnataka, Kerala, Tamil Nadu Top the Panchayat Devolution Index",https://factly.in/data-karnataka-kerala-tamil-nadu-top-the-panchayat-devolution-index/,https://factly.in/wp-content/uploads//2025/02/panchayat-office-karnataka--702x336.png,Pavithra K M,24-Feb-25,The Ministry of Panchayati Raj recently in February 2025 released the report titled ?Status of?,FALSE
"Review: NITI Aayog Reports Highlights the Financial, Academic, Governance & Employability Challenges of State Public Universities",https://factly.in/review-niti-aayog-reports-highlights-the-financial-academic-governance-employability-challenges-of-state-public-universities/,https://factly.in/wp-content/uploads//2025/02/state-university-india-featured-image-702x336.jpg,Suresh Deepala,21-Feb-25,NITI Aayog recently published a policy report titled ?Expanding Quality Higher Education through States and?,TRUE
Review: Jharkhand HC Rules There Can?t be any Discrimination in Reimbursement of Medical Expenses for Physical and Mental Illness.,https://factly.in/review-jharkhand-hc-rules-there-cant-be-any-discrimination-in-reimbursement-of-medical-expenses-for-physical-and-mental-illness/,https://factly.in/wp-content/uploads//2025/02/Jharkhand-High-court-featured-image-702x336.jpeg,Sai Krishna Muthyanolla,19-Feb-25,"In this edition of the Court Judgements review, we look at the Supreme Court?s judgement?",TRUE
What is the Number of Heatwave-Related Deaths in India? Different Government Organizations Provide Different Answers,https://factly.in/what-is-the-number-of-heatwave-related-deaths-in-india-different-government-organizations-provide-different-answers/,https://factly.in/wp-content/uploads//2016/04/Heat-stroke-deaths-in-India-factly.in_-702x336.jpg,Pavithra K M,18-Feb-25,The 2025 summer is expected to be warmer & harsher compared to 2024. While the?,FALSE
Data: State Public Universities Make up only 36% of All Universities in India but Account for 81% of Total Student Enrolment,https://factly.in/data-state-public-universities-make-up-only-36-of-all-universities-in-india-but-account-for-81-of-total-student-enrolment/,https://factly.in/wp-content/uploads//2024/02/featured-image-female-faculty-in-higher-education-702x336.jpeg,Suresh Deepala,17-Feb-25,Expanding access to quality higher education is seen as a crucial step toward achieving Viksit?,FALSE
